region,age_group,education,income_level,marital_status,gender,children_group,occupation,cluster_id,group_key,n_americans_in_group,n_clusters_total,openness,conscientiousness,extraversion,agreeableness,neuroticism,cluster_weight,target_audience_id,target_audience_name,data_source
Регион миллионник,45-49,среднего профессионального образования,Высокий: 123 500-250000,Женат,Мужской,1,Фрезеровщик,0,"(9, 1, 1, 0)",2,1,открыт новому опыту и идеям,"дисциплинирован, пунктуален, ответственен","очень общителен, постоянно ищет социального взаимодействия","очень эмпатичен, ставит нужды других выше своих","обычно спокоен, но может реагировать на сложности",1.0,0,fathers,pgm_synthetic
Регион миллионник,45-49,среднего профессионального образования,Выше_среднего: 45 000-123500,Женат,Мужской,2,Социальный работник,0,"(9, 1, 1, 0)",2,1,открыт новому опыту и идеям,"дисциплинирован, пунктуален, ответственен","очень общителен, постоянно ищет социального взаимодействия","очень эмпатичен, ставит нужды других выше своих","обычно спокоен, но может реагировать на сложности",1.0,0,fathers,pgm_synthetic
Регион миллионник,45-49,среднего профессионального образования,Выше_среднего: 45 000-123500,Женат,Мужской,2,Социальный работник,0,"(9, 1, 1, 0)",2,1,открыт новому опыту и идеям,"дисциплинирован, пунктуален, ответственен","очень общителен, постоянно ищет социального взаимодействия","очень эмпатичен, ставит нужды других выше своих","обычно спокоен, но может реагировать на сложности",1.0,0,fathers,pgm_synthetic
Бедный регион,45-49,среднего профессионального образования,Выше_среднего: 45 000-123500,Женат,Мужской,0,Пенсионер,0,"(9, 1, 1, 0)",2,1,открыт новому опыту и идеям,"дисциплинирован, пунктуален, ответственен","очень общителен, постоянно ищет социального взаимодействия","очень эмпатичен, ставит нужды других выше своих","обычно спокоен, но может реагировать на сложности",1.0,0,fathers,pgm_synthetic
Регион миллионник,45-49,среднего профессионального образования,Выше_среднего: 45 000-123500,Женат,Мужской,3+,Инженер связи,0,"(9, 1, 1, 0)",2,1,открыт новому опыту и идеям,"дисциплинирован, пунктуален, ответственен","очень общителен, постоянно ищет социального взаимодействия","очень эмпатичен, ставит нужды других выше своих","обычно спокоен, но может реагировать на сложности",1.0,0,fathers,pgm_synthetic
Регион миллионник,45-49,среднего профессионального образования,Выше МРОТ: 17 733-27000,Женат,Мужской,2,Студент,0,"(9, 1, 1, 0)",2,1,открыт новому опыту и идеям,"дисциплинирован, пунктуален, ответственен","очень общителен, постоянно ищет социального взаимодействия","очень эмпатичен, ставит нужды других выше своих","обычно спокоен, но может реагировать на сложности",1.0,0,fathers,pgm_synthetic
Регион миллионник,45-49,среднего профессионального образования,Выше_среднего: 45 000-123500,Женат,Мужской,2,Медсестра,0,"(9, 1, 1, 0)",2,1,открыт новому опыту и идеям,"дисциплинирован, пунктуален, ответственен","очень общителен, постоянно ищет социального взаимодействия","очень эмпатичен, ставит нужды других выше своих","обычно спокоен, но может реагировать на сложности",1.0,0,fathers,pgm_synthetic
Регион миллионник,45-49,среднего профессионального образования,Выше_среднего: 45 000-123500,Женат,Мужской,0,Инженер связи,0,"(9, 1, 1, 0)",2,1,открыт новому опыту и идеям,"дисциплинирован, пунктуален, ответственен","очень общителен, постоянно ищет социального взаимодействия","очень эмпатичен, ставит нужды других выше своих","обычно спокоен, но может реагировать на сложности",1.0,0,fathers,pgm_synthetic
Бедный регион,45-49,среднего профессионального образования,Выше_среднего: 45 000-123500,Женат,Мужской,0,Бухгалтер,0,"(9, 1, 1, 0)",2,1,открыт новому опыту и идеям,"дисциплинирован, пунктуален, ответственен","очень общителен, постоянно ищет социального взаимодействия","очень эмпатичен, ставит нужды других выше своих","обычно спокоен, но может реагировать на сложности",1.0,0,fathers,pgm_synthetic
Регион миллионник,45-49,среднего профессионального образования,Выше_среднего: 45 000-123500,Женат,Мужской,2,Социальный работник,0,"(9, 1, 1, 0)",2,1,открыт новому опыту и идеям,"дисциплинирован, пунктуален, ответственен","очень общителен, постоянно ищет социального взаимодействия","очень эмпатичен, ставит нужды других выше своих","обычно спокоен, но может реагировать на сложности",1.0,0,fathers,pgm_synthetic
Регион миллионник,45-49,среднего профессионального образования,Низкий: 0-17733,Женат,Мужской,1,Студент,0,"(9, 1, 1, 0)",2,1,открыт новому опыту и идеям,"дисциплинирован, пунктуален, ответственен","очень общителен, постоянно ищет социального взаимодействия","очень эмпатичен, ставит нужды других выше своих","обычно спокоен, но может реагировать на сложности",1.0,0,fathers,pgm_synthetic
Регион миллионник,45-49,среднего профессионального образования,Выше_среднего: 45 000-123500,Женат,Мужской,3+,Пенсионер,0,"(9, 1, 1, 0)",2,1,открыт новому опыту и идеям,"дисциплинирован, пунктуален, ответственен","очень общителен, постоянно ищет социального взаимодействия","очень эмпатичен, ставит нужды других выше своих","обычно спокоен, но может реагировать на сложности",1.0,0,fathers,pgm_synthetic
Регион миллионник,45-49,среднего профессионального образования,Средний: 27 000-45000,Женат,Мужской,2,Пенсионер,0,"(9, 1, 1, 0)",2,1,открыт новому опыту и идеям,"дисциплинирован, пунктуален, ответственен","очень общителен, постоянно ищет социального взаимодействия","очень эмпатичен, ставит нужды других выше своих","обычно спокоен, но может реагировать на сложности",1.0,0,fathers,pgm_synthetic
Регион миллионник,45-49,среднего профессионального образования,Выше_среднего: 45 000-123500,Женат,Мужской,2,Военнослужащий,0,"(9, 1, 1, 0)",2,1,открыт новому опыту и идеям,"дисциплинирован, пунктуален, ответственен","очень общителен, постоянно ищет социального взаимодействия","очень эмпатичен, ставит нужды других выше своих","обычно спокоен, но может реагировать на сложности",1.0,0,fathers,pgm_synthetic
Бедный регион,45-49,среднего профессионального образования,Выше_среднего: 45 000-123500,Женат,Мужской,1,Медсестра,0,"(9, 1, 1, 0)",2,1,открыт новому опыту и идеям,"дисциплинирован, пунктуален, ответственен","очень общителен, постоянно ищет социального взаимодействия","очень эмпатичен, ставит нужды других выше своих","обычно спокоен, но может реагировать на сложности",1.0,0,fathers,pgm_synthetic
Регион миллионник,45-49,среднего профессионального образования,Средний: 27 000-45000,Женат,Мужской,0,Курьер,0,"(9, 1, 1, 0)",2,1,открыт новому опыту и идеям,"дисциплинирован, пунктуален, ответственен","очень общителен, постоянно ищет социального взаимодействия","очень эмпатичен, ставит нужды других выше своих","обычно спокоен, но может реагировать на сложности",1.0,0,fathers,pgm_synthetic
Регион миллионник,45-49,среднего профессионального образования,Низкий: 0-17733,Женат,Мужской,1,Студент,0,"(9, 1, 1, 0)",2,1,открыт новому опыту и идеям,"дисциплинирован, пунктуален, ответственен","очень общителен, постоянно ищет социального взаимодействия","очень эмпатичен, ставит нужды других выше своих","обычно спокоен, но может реагировать на сложности",1.0,0,fathers,pgm_synthetic
Регион миллионник,45-49,среднего профессионального образования,Выше_среднего: 45 000-123500,Женат,Мужской,1,Инженер связи,0,"(9, 1, 1, 0)",2,1,открыт новому опыту и идеям,"дисциплинирован, пунктуален, ответственен","очень общителен, постоянно ищет социального взаимодействия","очень эмпатичен, ставит нужды других выше своих","обычно спокоен, но может реагировать на сложности",1.0,0,fathers,pgm_synthetic
Бедный регион,45-49,среднего профессионального образования,Выше_среднего: 45 000-123500,Женат,Мужской,0,Социальный работник,0,"(9, 1, 1, 0)",2,1,открыт новому опыту и идеям,"дисциплинирован, пунктуален, ответственен","очень общителен, постоянно ищет социального взаимодействия","очень эмпатичен, ставит нужды других выше своих","обычно спокоен, но может реагировать на сложности",1.0,0,fathers,pgm_synthetic
Регион миллионник,45-49,среднего профессионального образования,Выше МРОТ: 17 733-27000,Женат,Мужской,2,Горничная,0,"(9, 1, 1, 0)",2,1,открыт новому опыту и идеям,"дисциплинирован, пунктуален, ответственен","очень общителен, постоянно ищет социального взаимодействия","очень эмпатичен, ставит нужды других выше своих","обычно спокоен, но может реагировать на сложности",1.0,0,fathers,pgm_synthetic
Бедный регион,45-49,среднего профессионального образования,Выше_среднего: 45 000-123500,Женат,Мужской,3+,Кассир,0,"(9, 1, 1, 0)",2,1,открыт новому опыту и идеям,"дисциплинирован, пунктуален, ответственен","очень общителен, постоянно ищет социального взаимодействия","очень эмпатичен, ставит нужды других выше своих","обычно спокоен, но может реагировать на сложности",1.0,0,fathers,pgm_synthetic
Бедный регион,45-49,среднего профессионального образования,Высокий: 123 500-250000,Женат,Мужской,0,Фрезеровщик,0,"(9, 1, 1, 0)",2,1,открыт новому опыту и идеям,"дисциплинирован, пунктуален, ответственен","очень общителен, постоянно ищет социального взаимодействия","очень эмпатичен, ставит нужды других выше своих","обычно спокоен, но может реагировать на сложности",1.0,0,fathers,pgm_synthetic
Регион миллионник,45-49,среднего профессионального образования,Средний: 27 000-45000,Женат,Мужской,2,Продавец-консультант,0,"(9, 1, 1, 0)",2,1,открыт новому опыту и идеям,"дисциплинирован, пунктуален, ответственен","очень общителен, постоянно ищет социального взаимодействия","очень эмпатичен, ставит нужды других выше своих","обычно спокоен, но может реагировать на сложности",1.0,0,fathers,pgm_synthetic
