persona_id,trait,pred_trait_score,n_items
persona_0,extraversion,4.875,8
persona_0,agreeableness,5.0,9
persona_0,conscientiousness,4.777777777777778,9
persona_0,neuroticism,2.0,8
persona_0,openness,3.7,10
persona_1,extraversion,4.875,8
persona_1,agreeableness,5.0,9
persona_1,conscientiousness,4.666666666666667,9
persona_1,neuroticism,2.0,8
persona_1,openness,3.8,10
persona_2,extraversion,4.875,8
persona_2,agreeableness,5.0,9
persona_2,conscientiousness,4.555555555555555,9
persona_2,neuroticism,2.0,8
persona_2,openness,3.4,10
persona_3,extraversion,4.875,8
persona_3,agreeableness,4.888888888888889,9
persona_3,conscientiousness,4.777777777777778,9
persona_3,neuroticism,2.0,8
persona_3,openness,3.6,10
persona_4,extraversion,4.125,8
persona_4,agreeableness,4.777777777777778,9
persona_4,conscientiousness,4.777777777777778,9
persona_4,neuroticism,2.125,8
persona_4,openness,3.7,10
persona_5,extraversion,4.875,8
persona_5,agreeableness,5.0,9
persona_5,conscientiousness,4.777777777777778,9
persona_5,neuroticism,2.0,8
persona_5,openness,3.9,10
persona_6,extraversion,4.875,8
persona_6,agreeableness,4.888888888888889,9
persona_6,conscientiousness,4.555555555555555,9
persona_6,neuroticism,2.125,8
persona_6,openness,3.7,10
