region,city,age,gender,education,marital_status,occupation,income,children,age_group_check
Московская область,Москва,80,Женский,среднего профессионального образования,Замужем,Пенсионер,10080,1,65+
Московская область,Москва,71,Мужской,среднего профессионального образования,Женат,Пенсионер,15615,1,65+
Московская область,Москва,21,Мужской,среднего профессионального образования,Не женат,Студент,9257,0,18-24
Московская область,Москва,43,Мужской,среднего профессионального образования,Разведен,Водитель,132751,0,35-44
Московская область,Москва,31,Женский,среднего профессионального образования,Разведена,Официант,37524,0,25-34
Московская область,Москва,19,Мужской,среднего профессионального образования,Не женат,Студент,17813,0,18-24
Московская область,Москва,74,Мужской,среднего профессионального образования,Разведен,Пенсионер,21128,0,65+
Московская область,Москва,18,Мужской,среднего профессионального образования,Не женат,Военнослужащий,24637,1,18-24
Московская область,Москва,21,Мужской,среднего профессионального образования,Не женат,Студент,15929,1,18-24
Московская область,Москва,63,Женский,среднего профессионального образования,Разведена,Учитель,18888,0,55-64
Московская область,Москва,55,Мужской,среднего профессионального образования,Женат,Безработный,29741,1,55-64
Московская область,Москва,18,Мужской,среднего профессионального образования,Не женат,Бухгалтер,55276,0,18-24
Московская область,Москва,41,Мужской,среднего профессионального образования,Женат,Бухгалтер,158367,0,35-44
Московская область,Москва,27,Мужской,магистратура,Женат,Студент,37627,1,25-34
Московская область,Москва,83,Женский,среднего профессионального образования,Вдова,Пенсионер,6396,2,65+
Московская область,Москва,46,Женский,среднего профессионального образования,Не замужем,Фрезеровщик,59255,3,45-54
Московская область,Москва,60,Мужской,среднего профессионального образования,Женат,Медсестра,52858,1,55-64
Московская область,Москва,18,Женский,среднего профессионального образования,Не замужем,Военнослужащий,42236,0,18-24
Московская область,Москва,18,Мужской,среднего профессионального образования,Не женат,Студент,17173,0,18-24
Московская область,Москва,44,Женский,среднего профессионального образования,Замужем,Пенсионер,65279,4,35-44
Московская область,Москва,37,Женский,среднего профессионального образования,Замужем,Диспетчер,145122,4,35-44
Московская область,Москва,20,Мужской,среднего профессионального образования,Не женат,Воспитатель,28174,0,18-24
Московская область,Москва,44,Мужской,среднего профессионального образования,Не женат,Слесарь,117616,0,35-44
Московская область,Москва,59,Женский,среднего профессионального образования,Вдова,Пенсионер,46504,0,55-64
Московская область,Москва,67,Мужской,среднего профессионального образования,Женат,Пенсионер,20197,1,65+
Московская область,Москва,65,Женский,среднего профессионального образования,Разведена,Врач,25982,1,65+
Московская область,Москва,30,Мужской,среднего профессионального образования,Женат,Плотник,118639,0,25-34
Московская область,Москва,19,Мужской,среднего профессионального образования,Не женат,Пенсионер,19515,0,18-24
Московская область,Москва,44,Женский,среднего профессионального образования,Разведена,Фрезеровщик,127596,0,35-44
Московская область,Москва,43,Мужской,среднего профессионального образования,Женат,Плотник,223464,1,35-44
Московская область,Москва,35,Мужской,специалитет,Разведен,Тракторист,121924,0,35-44
Московская область,Москва,49,Женский,среднего профессионального образования,Замужем,Повар,84923,1,45-54
Московская область,Москва,38,Мужской,среднего профессионального образования,Женат,Агроном,253095,2,35-44
Московская область,Москва,65,Женский,среднего профессионального образования,Замужем,Токарь,16175,1,65+
Московская область,Москва,77,Женский,среднего профессионального образования,Разведена,Пенсионер,22635,1,65+
Московская область,Москва,49,Мужской,специалитет,Женат,Логист,131567,1,45-54
Московская область,Москва,67,Женский,среднего профессионального образования,Вдова,Пенсионер,17187,1,65+
Московская область,Москва,47,Мужской,среднего профессионального образования,Женат,Студент,31227,2,45-54
Московская область,Москва,18,Женский,среднего профессионального образования,Не замужем,Студент,8054,2,18-24
Московская область,Москва,37,Женский,среднего профессионального образования,Разведена,Социальный работник,54794,0,35-44
Московская область,Москва,83,Женский,среднего профессионального образования,Замужем,Пенсионер,16943,1,65+
Московская область,Москва,32,Женский,среднего профессионального образования,Разведена,Маркетолог,172845,3,25-34
Московская область,Москва,34,Женский,среднего профессионального образования,Разведена,Оператор станков с ЧПУ,93070,0,25-34
Московская область,Москва,41,Мужской,среднего профессионального образования,Женат,Военнослужащий,170066,1,35-44
Московская область,Москва,21,Женский,среднего профессионального образования,Замужем,Безработный,12402,0,18-24
Московская область,Москва,18,Женский,среднего профессионального образования,Не замужем,Слесарь,31488,0,18-24
Московская область,Москва,57,Мужской,среднего профессионального образования,Женат,Фрезеровщик,126674,1,55-64
Московская область,Москва,22,Женский,среднего профессионального образования,Не замужем,Студент,26619,1,18-24
Московская область,Москва,64,Женский,среднего профессионального образования,Разведена,Каменщик,54044,2,55-64
Московская область,Москва,45,Женский,среднего профессионального образования,Не замужем,Военнослужащий,89738,1,45-54
Московская область,Москва,31,Мужской,среднего профессионального образования,Не женат,Слесарь,80344,0,25-34
Московская область,Москва,18,Женский,среднего профессионального образования,Разведена,Студент,8063,1,18-24
Московская область,Москва,39,Женский,среднего профессионального образования,Замужем,Мастер участка,178219,1,35-44
Московская область,Москва,30,Женский,среднего профессионального образования,Разведена,Студент,11550,0,25-34
Московская область,Москва,43,Мужской,среднего профессионального образования,Женат,Инженер связи,187251,1,35-44
Московская область,Москва,47,Мужской,среднего профессионального образования,Женат,Безработный,24824,2,45-54
Московская область,Москва,28,Мужской,среднего профессионального образования,Женат,Кассир,49697,1,25-34
Московская область,Москва,24,Женский,среднего профессионального образования,Не замужем,Безработный,16021,1,18-24
Московская область,Москва,38,Мужской,среднего профессионального образования,Женат,Проводник,192602,0,35-44
Московская область,Москва,38,Женский,среднего профессионального образования,Замужем,Оператор станков с ЧПУ,193214,1,35-44
Московская область,Москва,18,Мужской,среднего профессионального образования,Не женат,Студент,4307,0,18-24
Московская область,Москва,43,Женский,среднего профессионального образования,Замужем,Энергетик,88544,2,35-44
Московская область,Москва,45,Мужской,среднего профессионального образования,Женат,Пенсионер,37069,0,45-54
Московская область,Москва,24,Мужской,среднего профессионального образования,Не женат,Предприниматель,109403,1,18-24
Московская область,Москва,37,Женский,среднего профессионального образования,Замужем,Пенсионер,67121,2,35-44
Московская область,Москва,45,Женский,магистратура,Замужем,Студент,82991,1,45-54
Московская область,Москва,39,Мужской,среднего профессионального образования,Не женат,Повар,170798,1,35-44
Московская область,Москва,30,Женский,среднего профессионального образования,Разведена,Предприниматель,201278,0,25-34
Московская область,Москва,75,Мужской,среднего профессионального образования,Не женат,Пенсионер,15428,0,65+
Московская область,Москва,78,Женский,среднего профессионального образования,Замужем,Пенсионер,17256,1,65+
Московская область,Москва,40,Мужской,среднего профессионального образования,Женат,Товаровед,47296,2,35-44
Московская область,Москва,64,Женский,среднего профессионального образования,Не замужем,Предприниматель,142532,1,55-64
Московская область,Москва,58,Женский,среднего профессионального образования,Замужем,Врач,78872,2,55-64
Московская область,Москва,39,Женский,среднего профессионального образования,Замужем,Повар,35548,1,35-44
Московская область,Москва,46,Женский,среднего профессионального образования,Не замужем,Учитель,77258,4,45-54
Московская область,Москва,24,Женский,среднего профессионального образования,Разведена,Студент,12806,0,18-24
Московская область,Москва,42,Женский,специалитет,Замужем,Пенсионер,108163,0,35-44
Московская область,Москва,30,Женский,среднего профессионального образования,Замужем,Безработный,26062,1,25-34
Московская область,Москва,18,Мужской,среднего профессионального образования,Женат,Продавец-консультант,31723,1,18-24
Московская область,Москва,18,Мужской,среднего профессионального образования,Не женат,Техник связи,113527,0,18-24
Московская область,Москва,45,Женский,среднего профессионального образования,Замужем,Сварщик,86593,1,45-54
Московская область,Москва,19,Женский,бакалавриат,Замужем,Юрист,50666,0,18-24
Московская область,Москва,53,Мужской,среднего профессионального образования,Не женат,Продавец-консультант,46891,1,45-54
Московская область,Москва,55,Женский,среднего профессионального образования,Разведена,Кассир,44372,0,55-64
Московская область,Москва,24,Женский,среднего профессионального образования,Не замужем,Бухгалтер,67252,0,18-24
Московская область,Москва,62,Женский,среднего профессионального образования,Замужем,Врач,89720,1,55-64
Московская область,Москва,55,Женский,среднего профессионального образования,Разведена,Отделочник,187081,0,55-64
Московская область,Москва,52,Женский,среднего профессионального образования,Замужем,Бармен,77670,0,45-54
Московская область,Москва,51,Женский,среднего профессионального образования,Замужем,Официант,38847,0,45-54
Московская область,Москва,24,Женский,среднего профессионального образования,Не замужем,Инженер-строитель,48944,0,18-24
Московская область,Москва,20,Мужской,среднего профессионального образования,Не женат,Водитель,42643,0,18-24
Московская область,Москва,54,Женский,среднего профессионального образования,Замужем,Пенсионер,50056,1,45-54
Московская область,Москва,39,Женский,среднего профессионального образования,Разведена,Воспитатель,51144,1,35-44
Московская область,Москва,33,Женский,среднего профессионального образования,Не замужем,Учитель,102599,1,25-34
Московская область,Москва,71,Женский,среднего профессионального образования,Вдова,Слесарь,44048,2,65+
Московская область,Москва,83,Мужской,среднего профессионального образования,Женат,Пенсионер,23948,0,65+
Московская область,Москва,40,Женский,среднего профессионального образования,Замужем,Пенсионер,69001,2,35-44
Московская область,Москва,63,Женский,среднего профессионального образования,Вдова,Медсестра,55666,3,55-64
Московская область,Москва,34,Женский,среднего профессионального образования,Замужем,Электромонтер,148936,0,25-34
Московская область,Москва,55,Мужской,среднего профессионального образования,Женат,Мерчендайзер,90806,1,55-64
Московская область,Москва,45,Женский,магистратура,Замужем,Пенсионер,82146,1,45-54
Московская область,Москва,23,Женский,среднего профессионального образования,Замужем,Слесарь,60363,0,18-24
Московская область,Москва,50,Мужской,среднего профессионального образования,Женат,Официант,118763,1,45-54
Московская область,Москва,72,Мужской,среднего профессионального образования,Женат,Пенсионер,13159,1,65+
Московская область,Москва,44,Женский,среднего профессионального образования,Разведена,Бухгалтер,77511,0,35-44
Московская область,Москва,24,Мужской,среднего профессионального образования,Не женат,Безработный,22403,1,18-24
Московская область,Москва,42,Женский,среднего профессионального образования,Не замужем,Официант,73785,3,35-44
Московская область,Москва,51,Мужской,среднего профессионального образования,Разведен,Студент,31213,2,45-54
Московская область,Москва,21,Женский,среднего профессионального образования,Замужем,Студент,9690,0,18-24
Московская область,Москва,42,Женский,среднего профессионального образования,Замужем,Социальный работник,93516,3,35-44
Московская область,Москва,51,Женский,среднего профессионального образования,Разведена,Маркетолог,102492,1,45-54
Московская область,Москва,32,Женский,среднего профессионального образования,Замужем,Пенсионер,100251,1,25-34
Московская область,Москва,52,Мужской,среднего профессионального образования,Разведен,Водитель,99354,2,45-54
Московская область,Москва,18,Мужской,среднего профессионального образования,Не женат,HR-специалист,36700,0,18-24
Московская область,Москва,43,Мужской,среднего профессионального образования,Не женат,Пенсионер,83347,0,35-44
Московская область,Москва,63,Женский,среднего профессионального образования,Замужем,Контролер ОТК,75096,1,55-64
Московская область,Москва,22,Женский,среднего профессионального образования,Замужем,Студент,9283,0,18-24
Московская область,Москва,75,Мужской,среднего профессионального образования,Не женат,Пенсионер,12508,0,65+
Московская область,Москва,21,Мужской,среднего профессионального образования,Женат,Студент,11291,1,18-24
Московская область,Москва,31,Женский,среднего профессионального образования,Разведена,Слесарь,98518,0,25-34
Московская область,Москва,45,Мужской,среднего профессионального образования,Разведен,HR-специалист,135936,1,45-54
Московская область,Москва,21,Женский,среднего профессионального образования,Замужем,Студент,17618,0,18-24
Московская область,Москва,37,Мужской,среднего профессионального образования,Женат,Социальный работник,74676,2,35-44
Московская область,Москва,20,Женский,среднего профессионального образования,Не замужем,Студент,5242,1,18-24
Московская область,Москва,38,Женский,среднего профессионального образования,Замужем,Врач,100642,2,35-44
Московская область,Москва,46,Женский,среднего профессионального образования,Замужем,Кондуктор,57623,1,45-54
Московская область,Москва,36,Мужской,среднего профессионального образования,Разведен,Учитель,39993,0,35-44
Московская область,Москва,35,Женский,среднего профессионального образования,Не замужем,Водитель,130099,0,35-44
Московская область,Москва,48,Женский,среднего профессионального образования,Замужем,Продавец-консультант,59563,1,45-54
Московская область,Москва,38,Женский,среднего профессионального образования,Замужем,Прораб,64682,3,35-44
Московская область,Москва,42,Мужской,специалитет,Женат,Студент,72498,0,35-44
Московская область,Москва,53,Мужской,специалитет,Женат,Предприниматель,235255,1,45-54
Московская область,Москва,45,Женский,среднего профессионального образования,Замужем,Врач,93754,0,45-54
Московская область,Москва,24,Мужской,среднего профессионального образования,Не женат,Программист,124914,0,18-24
Московская область,Москва,65,Мужской,среднего профессионального образования,Женат,Кассир,17864,1,65+
Московская область,Москва,75,Мужской,среднего профессионального образования,Не женат,Пенсионер,35361,0,65+
Московская область,Москва,61,Женский,среднего профессионального образования,Вдова,Водитель,78214,2,55-64
Московская область,Москва,30,Мужской,среднего профессионального образования,Женат,Тракторист,77250,0,25-34
Московская область,Москва,20,Женский,среднего профессионального образования,Не замужем,Студент,9192,0,18-24
Московская область,Москва,60,Мужской,среднего профессионального образования,Женат,Врач,180204,3,55-64
Московская область,Москва,51,Мужской,среднего профессионального образования,Женат,Студент,20430,1,45-54
Московская область,Москва,37,Мужской,среднего профессионального образования,Женат,Медсестра,67140,1,35-44
Московская область,Москва,57,Женский,среднего профессионального образования,Замужем,Маркетолог,107211,0,55-64
Московская область,Москва,35,Мужской,среднего профессионального образования,Женат,Бухгалтер,89131,3,35-44
Московская область,Москва,53,Женский,среднего профессионального образования,Замужем,Военнослужащий,84352,4,45-54
Московская область,Москва,20,Женский,среднего профессионального образования,Замужем,Студент,6783,0,18-24
Московская область,Москва,31,Женский,среднего профессионального образования,Замужем,Бармен,151880,1,25-34
Московская область,Москва,23,Мужской,среднего профессионального образования,Не женат,Фрезеровщик,93232,0,18-24
Московская область,Москва,20,Мужской,среднего профессионального образования,Не женат,Токарь,26877,0,18-24
Московская область,Москва,21,Мужской,среднего профессионального образования,Не женат,Студент,16002,0,18-24
Московская область,Москва,19,Женский,среднего профессионального образования,Не замужем,Студент,8586,0,18-24
Московская область,Москва,53,Мужской,среднего профессионального образования,Вдовец,Наладчик оборудования,83379,2,45-54
Московская область,Москва,24,Женский,среднего профессионального образования,Замужем,Токарь,44752,0,18-24
Московская область,Москва,30,Женский,среднего профессионального образования,Замужем,Медсестра,66092,2,25-34
Московская область,Москва,66,Женский,среднего профессионального образования,Разведена,Пенсионер,29206,0,65+
