region,city,age,gender,education,marital_status,occupation,income,children,age_group_check
Москва,Москва,44,Женский,Высшее,Замужем,Специалист,218504,0,41-50
Москва,Москва,41,Женский,Высшее,Вдова,Учитель/Преподаватель,189150,0,41-50
Москва,Москва,31,Мужской,Высшее,Женат,Специалист,274456,1,31-40
Москва,Москва,25,Мужской,Незаконченное высшее,Женат,Рабочий,31901,1,18-25
Москва,Москва,21,Мужской,Среднее специальное,Не женат,Студент,36941,0,18-25
Москва,Москва,42,Мужской,Высшее,Женат,Специалист,264266,2,41-50
Москва,Москва,40,Женский,Высшее,Вдова,Предприниматель,154579,4,31-40
Москва,Москва,23,Мужской,Незаконченное высшее,Не женат,Служащий,15000,0,18-25
Москва,Москва,42,Мужской,Неполное среднее,Не женат,Служащий,63295,0,41-50
Москва,Москва,46,Женский,Среднее специальное,Замужем,Служащий,143264,0,41-50
Москва,Москва,42,Мужской,Высшее,Женат,Специалист,360932,4,41-50
Москва,Москва,51,Женский,Среднее,Замужем,Рабочий,112535,1,50+
Москва,Москва,18,Женский,Среднее специальное,Замужем,Студент,73349,1,18-25
Москва,Москва,35,Мужской,Среднее,Не женат,Рабочий,78067,2,31-40
Москва,Москва,39,Женский,Среднее,Замужем,Служащий,144518,1,31-40
Москва,Москва,42,Мужской,Высшее,Женат,Специалист,318063,0,41-50
Москва,Москва,44,Мужской,Высшее,Женат,Специалист,292436,3,41-50
Москва,Москва,22,Мужской,Незаконченное высшее,Не женат,Служащий,15000,0,18-25
Москва,Москва,35,Мужской,Высшее,Вдовец,Специалист,320492,1,31-40
Москва,Москва,49,Мужской,Незаконченное высшее,Женат,Рабочий,42636,0,41-50
Москва,Москва,31,Мужской,Высшее,Женат,Рабочий,236829,0,31-40
Москва,Москва,18,Женский,Высшее,Не замужем,Студент,19233,1,18-25
Москва,Москва,27,Женский,Среднее специальное,Замужем,Рабочий,77876,3,26-30
Москва,Москва,41,Мужской,Высшее,Женат,Учитель/Преподаватель,218269,3,41-50
Москва,Москва,42,Мужской,Высшее,Женат,Рабочий,138578,1,41-50
Москва,Москва,24,Мужской,Незаконченное высшее,Не женат,Учитель/Преподаватель,102305,0,18-25
Москва,Москва,25,Мужской,Высшее,Женат,Медработник,230511,3,18-25
Москва,Москва,76,Женский,Высшее,Вдова,Медработник,102645,0,50+
