region,age,gender,income,children
Москва,44,Ж,99704,1
Москва,41,Ж,168630,0
Москва,29,М,112489,1
Москва,18,Ж,20262,0
Москва,25,М,59261,1
Москва,73,М,107653,1
Москва,29,Ж,90498,1
Москва,30,Ж,107668,0
Москва,20,Ж,119519,0
Москва,41,Ж,160905,0
Москва,23,М,15000,1
Москва,42,М,38217,1
Москва,46,Ж,143264,1
Москва,26,Ж,89447,1
Москва,35,М,119377,3
Москва,43,Ж,69292,2
Москва,18,М,121314,0
Москва,39,М,126059,2
Москва,58,М,88903,0
Москва,26,Ж,77894,4
Москва,39,Ж,166118,2
Москва,32,Ж,20189,1
Москва,18,М,92731,0
Москва,44,М,134036,2
Москва,37,М,43589,1
Москва,38,М,291794,1
Москва,29,Ж,82710,1
Москва,53,М,165115,2
Москва,46,М,251427,2
Москва,39,Ж,77791,0
Москва,18,Ж,58113,0
Москва,25,Ж,200996,0
Москва,27,Ж,88676,1
Москва,52,Ж,121586,1
Москва,41,М,190909,2
Москва,41,Ж,128786,0
Москва,42,М,101138,0
Москва,64,Ж,91429,0
Москва,24,М,119225,1
Москва,43,Ж,164432,0
Москва,18,М,25693,1
Москва,41,Ж,157630,2
Москва,46,М,68570,0
Москва,23,Ж,82948,2
Москва,44,Ж,103630,2
Москва,31,М,195383,3
Москва,41,Ж,59463,0
Москва,52,Ж,93081,2
Москва,50,Ж,53765,3
Москва,45,Ж,176133,3
Москва,40,М,92644,2
Москва,32,М,148811,2
Москва,59,М,127713,1
Москва,38,Ж,68903,3
Москва,52,М,82285,1
Москва,45,М,195945,0
Москва,31,Ж,68800,2
Москва,67,М,145947,0
Москва,55,М,77539,0
Москва,44,Ж,154478,0
Москва,18,М,15000,0
Москва,60,Ж,15000,0
Москва,58,Ж,15000,2
Москва,40,М,107986,3
Москва,29,Ж,234679,4
Москва,31,М,156455,1
Москва,29,М,194976,4
Москва,26,Ж,74389,3
Москва,28,Ж,177716,3
Москва,56,М,121260,1
Москва,34,Ж,71214,3
Москва,23,Ж,15000,1
Москва,28,Ж,107470,2
Москва,46,М,201472,0
Москва,31,Ж,120229,1
Москва,18,Ж,15000,3
Москва,18,Ж,148201,0
Москва,33,Ж,107726,0
Москва,55,Ж,136251,2
Москва,33,Ж,135460,0
Москва,38,Ж,167010,0
