Регион,Население_2025,Количество_записей,Доля_населения
Москва,13258262,8932,0.0893117226857505
Московская область,8766594,5905,0.05905446824226013
Краснодарский край,5841846,3935,0.0393524679120733
Санкт-Петербург,5645943,3803,0.0380328051682456
Свердловская область,4218204,2842,0.028415116994966873
Ростовская область,4135018,2785,0.02785475056357965
Республика Башкортостан,4046094,2726,0.027255731202813684
Республика Татарстан,4016571,2706,0.02705685521221617
Челябинская область,3383188,2279,0.022790192896305628
Республика Дагестан,3258993,2195,0.021953577252493733
Самарская область,3108944,2094,0.020942801128347583
Нижегородская область,3037816,2046,0.020463661086372847
Ставропольский край,2883494,1942,0.019424100722555147
Красноярский край,2837374,1911,0.019113422245220273
Новосибирская область,2784587,1876,0.018757832809333977
Кемеровская область,2526384,1702,0.017018498141439437
Пермский край,2482080,1672,0.016720052797557297
Волгоградская область,2435355,1641,0.01640529885450717
Саратовская область,2368387,1595,0.01595418184951667
Республика Крым,2350000,1583,0.01583032137330773
Иркутская область,2316571,1561,0.015605133367695685
Воронежская область,2259610,1522,0.015221426586527607
Донецкая Народная Республика,2150000,1448,0.01448305997983473
Алтайский край,2098979,1414,0.014139366862052801
Ленинградская область,2057708,1386,0.013861352737202681
Оренбургская область,1815655,1223,0.012230809426831083
Омская область,1805443,1216,0.012162018260080351
Приморский край,1798047,1211,0.01211219653374972
Ханты-Мансийский автономный округ - Югра,1779510,1199,0.011987325611495675
Тюменская область,1625129,1095,0.010947367805566901
Чеченская Республика,1575819,1062,0.010615200509006132
Белгородская область,1481098,998,0.009977130776750354
Тульская область,1455911,981,0.00980746341316333
Удмуртская Республика,1427018,961,0.009612831295955254
Владимирская область,1295930,873,0.008729782288217313
Хабаровский край,1273093,858,0.0085759452460036
Пензенская область,1225984,826,0.008258604561078001
Тверская область,1189685,801,0.008014083354469619
Ярославская область,1179301,794,0.007944133542920501
Ульяновская область,1164837,785,0.007846699598944533
Чувашская Республика,1159757,781,0.00781247915955032
Брянская область,1132475,763,0.007628699232866668
Кировская область,1120178,755,0.0075458628660889805
Вологодская область,1114639,751,0.007508550461796746
Липецкая область,1107812,746,0.007462561694130545
Рязанская область,1073981,723,0.00723466569311762
Калужская область,1064747,717,0.007172462634580972
Курская область,1050134,707,0.007074024980866868
Томская область,1039458,700,0.007002108167683279
Калининградская область,1033128,696,0.006959467344579858
Республика Саха (Якутия),1007058,678,0.006783851821940653
Забайкальский край,982525,662,0.006618590003110288
Республика Бурятия,970679,654,0.006538791710774882
Архангельская область,947192,638,0.00638057606903238
Тамбовская область,946010,637,0.006372613754196955
Астраханская область,945991,637,0.006372485764364575
Кабардино-Балкарская Республика,908090,612,0.006117172993994475
Ивановская область,897869,605,0.006048321200481037
Смоленская область,857847,578,0.005778720723033155
Республика Коми,790000,532,0.005321682504218343
Курганская область,770000,519,0.005186956364871043
Республика Мордовия,758390,511,0.005108747840979935
Амурская область,750870,506,0.005058090812585351
Орловская область,700000,472,0.0047154148771554934
Республика Северная Осетия - Алания,690000,465,0.004648051807481844
Мурманская область,680000,458,0.004580688737808194
Республика Марий Эл,670000,451,0.004513325668134544
Костромская область,610000,411,0.004109147250092644
Псковская область,600000,404,0.0040417841804189945
Новгородская область,580000,391,0.003907058041071694
Республика Карелия,580000,391,0.003907058041071694
Севастополь,548000,369,0.003691496218116015
Ямало-Ненецкий автономный округ,544000,366,0.003664550990246555
Республика Хакасия,530000,357,0.0035702426927034453
Республика Ингушетия,510000,344,0.003435516553356145
Карачаево-Черкесская Республика,465000,313,0.0031323827398247205
Сахалинская область,465000,313,0.0031323827398247205
Республика Тыва,330000,222,0.002222981299230447
Камчатский край,295000,199,0.0019872105553726724
Республика Калмыкия,265000,179,0.0017851213463517227
Республика Алтай,220000,148,0.001481987532820298
Еврейская автономная область,150000,101,0.0010104460451047486
Магаданская область,136000,92,0.0009161377475616387
Чукотский автономный округ,48000,32,0.00032334273443351954
Ненецкий автономный округ,44000,30,0.0002963975065640596
