region,age_mean,age_std,age_min,age_max,income_mean,income_std,income_min,income_max,children_mean,children_std,percent_male
Алтайский край,41.09,14.32,18,80,50325.91,25618.82,15000,131726,1.27,1.21,45.4
Амурская область,40.94,13.99,18,80,49804.32,25721.67,15000,138103,1.3,1.22,44.7
Архангельская область,40.68,13.9,18,80,50174.05,25313.17,15000,137562,1.31,1.21,44.3
Астраханская область,41.08,14.01,18,80,49695.29,24617.3,15000,137278,1.24,1.15,47.8
Белгородская область,40.73,14.25,18,80,50663.11,25450.38,15000,124961,1.22,1.15,47.7
Брянская область,40.72,14.19,18,80,49634.06,25204.81,15000,143841,1.22,1.17,46.2
Владимирская область,41.3,13.88,18,80,49632.57,25203.96,15000,130521,1.26,1.17,44.4
Волгоградская область,41.32,14.65,18,80,48224.51,24943.05,15000,130455,1.23,1.13,46.3
Вологодская область,40.8,14.03,18,80,50479.44,25402.3,15000,141401,1.24,1.2,45.8
Воронежская область,41.25,14.49,18,80,50223.64,26176.86,15000,132930,1.23,1.18,48.0
Еврейская автономная область,40.28,13.92,18,80,49685.12,25762.89,15000,142580,1.26,1.21,44.0
Забайкальский край,40.94,14.14,18,80,50373.02,24640.22,15000,131749,1.34,1.22,46.0
Ивановская область,40.51,14.07,18,80,48669.0,25002.37,15000,136738,1.2,1.16,44.6
Иркутская область,41.16,14.16,18,80,50138.24,25694.75,15000,151499,1.27,1.18,47.7
Кабардино-Балкарская Республика,32.32,10.62,18,72,32035.97,14910.25,15000,87039,1.49,1.34,46.5
Калининградская область,40.36,14.49,18,80,49535.25,25290.42,15000,139240,1.3,1.17,45.9
Калужская область,40.69,14.75,18,80,49596.45,24573.54,15000,127290,1.27,1.2,48.9
Камчатский край,41.19,13.95,18,80,83869.19,46290.02,15000,257446,1.28,1.17,44.7
Карачаево-Черкесская Республика,31.99,10.97,18,68,31893.15,13901.18,15000,80832,1.51,1.36,47.1
Кемеровская область,40.89,14.4,18,80,50554.27,25618.96,15000,124481,1.29,1.16,47.5
Кировская область,40.22,13.57,18,80,50719.77,25543.1,15000,150954,1.31,1.18,43.7
Костромская область,41.5,14.09,18,80,50372.45,25686.78,15000,126944,1.29,1.19,45.6
Краснодарский край,40.82,13.79,18,80,50312.26,26025.17,15000,136282,1.28,1.21,45.5
Красноярский край,41.29,13.83,18,80,49741.84,24690.07,15000,145710,1.27,1.21,49.7
Курганская область,41.37,13.86,18,80,49897.23,24985.12,15000,149344,1.23,1.16,46.3
Курская область,41.47,14.54,18,80,49018.21,25319.25,15000,156009,1.24,1.15,44.9
Ленинградская область,41.45,14.33,18,80,48839.78,25148.59,15000,150940,1.22,1.17,44.9
Липецкая область,41.3,14.11,18,80,50832.66,26406.01,15000,136591,1.19,1.18,44.8
Магаданская область,40.81,13.8,18,80,79035.81,44811.16,15000,245158,1.25,1.18,49.0
Москва,37.9,12.9,18,80,111855.3,62442.79,15000,302317,1.1,1.11,45.8
Московская область,40.58,14.09,18,80,50377.93,25806.46,15000,146306,1.27,1.21,47.3
Мурманская область,40.08,14.1,18,80,49743.48,24600.24,15000,141190,1.17,1.11,46.5
Ненецкий автономный округ,41.24,13.83,18,80,84057.44,45428.85,15000,263299,1.29,1.19,48.5
Нижегородская область,40.38,13.73,18,80,49341.4,25066.95,15000,135579,1.29,1.19,49.0
Новгородская область,41.1,14.22,18,80,48977.04,24364.62,15000,148929,1.23,1.17,45.7
Новосибирская область,41.11,14.15,18,78,48318.66,24936.29,15000,138898,1.23,1.13,42.2
Омская область,40.46,13.5,18,80,51779.92,25935.22,15000,136708,1.28,1.22,49.2
Оренбургская область,40.76,13.94,18,80,49617.76,25396.98,15000,133789,1.19,1.15,48.7
Орловская область,41.61,14.46,18,80,49324.7,24832.45,15000,140426,1.27,1.2,47.5
Пензенская область,41.09,14.05,18,80,48263.53,24396.29,15000,149399,1.27,1.23,45.6
Пермский край,40.37,13.63,18,80,50002.88,25733.89,15000,131682,1.29,1.17,45.4
Приморский край,41.27,14.4,18,80,51631.47,26289.5,15000,137839,1.27,1.21,49.6
Псковская область,41.12,14.1,18,80,48421.55,24673.69,15000,135843,1.3,1.18,44.2
Республика Адыгея,40.7,13.71,18,80,50604.53,24662.89,15000,133325,1.43,1.24,47.4
Республика Алтай,40.98,14.01,18,80,50736.46,26623.57,15000,143226,1.5,1.24,50.0
Республика Башкортостан,41.37,14.19,18,80,48661.3,23872.21,15000,127518,1.5,1.29,45.0
Республика Бурятия,41.26,14.73,18,80,50728.58,25399.86,15000,146398,1.46,1.31,47.1
Республика Дагестан,32.72,11.07,18,72,32215.16,14982.48,15000,86981,1.44,1.24,49.1
Республика Ингушетия,32.54,10.78,18,69,32313.56,14551.44,15000,90230,1.43,1.37,45.6
Республика Калмыкия,40.2,14.1,18,80,32715.24,14899.28,15000,83853,1.41,1.23,45.8
Республика Карелия,41.36,14.39,18,80,50385.02,25443.91,15000,141654,1.41,1.23,45.1
Республика Коми,41.77,14.2,18,80,50126.96,24863.05,15000,124528,1.44,1.26,47.2
Республика Крым,41.07,14.57,18,80,50313.48,25063.09,15000,128048,1.43,1.3,46.0
Республика Марий Эл,40.96,14.22,18,80,50185.22,26196.84,15000,148253,1.38,1.26,47.8
Республика Мордовия,40.7,14.22,18,80,52503.1,26019.26,15000,131617,1.5,1.26,46.9
Республика Саха (Якутия),41.21,13.89,18,80,83280.67,44878.38,15000,237172,1.46,1.23,47.1
Республика Северная Осетия - Алания,32.32,11.03,18,72,49124.1,25459.33,15000,134390,1.39,1.32,47.1
Республика Татарстан,40.79,14.03,18,80,49507.12,25271.37,15000,134513,1.44,1.27,46.8
Республика Тыва,40.29,14.01,18,80,50286.16,25781.17,15000,141887,2.06,1.55,46.3
Республика Хакасия,40.52,13.94,18,80,49272.27,24801.35,15000,129063,1.45,1.27,46.0
Ростовская область,40.06,13.65,18,80,49874.35,26092.54,15000,149603,1.24,1.14,46.6
Рязанская область,41.08,13.62,18,80,51592.07,25878.36,15000,143472,1.31,1.2,46.1
Самарская область,40.54,13.98,18,80,50443.76,25428.68,15000,143404,1.23,1.14,49.2
Санкт-Петербург,38.19,12.88,18,80,95454.12,50973.55,15000,243637,1.16,1.17,46.3
Саратовская область,40.25,13.94,18,80,50088.16,25597.35,15000,136135,1.25,1.21,47.5
Сахалинская область,41.76,14.0,18,80,82144.67,45107.42,15000,229234,1.28,1.19,47.3
Свердловская область,40.43,13.6,18,80,50094.15,25594.48,15000,139771,1.22,1.18,46.9
Севастополь,40.93,13.94,18,80,51201.79,25276.94,15000,144333,1.26,1.2,47.1
Смоленская область,41.29,14.04,18,80,50533.31,24898.56,15000,125226,1.22,1.15,47.3
Ставропольский край,40.51,14.13,18,80,49561.48,24878.61,15000,137440,1.29,1.21,49.0
Тамбовская область,41.19,14.4,18,80,48659.67,24766.59,15000,138646,1.28,1.19,46.3
Тверская область,40.6,14.09,18,80,51084.33,25654.07,15000,137076,1.24,1.14,47.1
Томская область,41.09,14.41,18,80,51131.07,26156.01,15000,149721,1.22,1.16,46.6
Тульская область,41.32,14.15,18,80,49143.7,25396.28,15000,137196,1.29,1.21,46.6
Тюменская область,40.65,14.12,18,80,82224.75,44531.86,15000,220428,1.15,1.1,49.9
Удмуртская Республика,41.02,13.85,18,80,50653.68,26224.01,15000,143157,1.44,1.23,46.6
Ульяновская область,41.11,14.05,18,80,50202.37,24863.13,15000,123819,1.23,1.15,48.0
Хабаровский край,40.61,13.82,18,80,48685.22,25100.65,15000,122553,1.3,1.16,45.7
Ханты-Мансийский автономный округ - Югра,40.92,13.92,18,80,82182.63,45610.69,15000,227837,1.24,1.16,48.3
Челябинская область,40.85,14.07,18,80,49586.91,24573.92,15000,120374,1.31,1.21,46.4
Чеченская Республика,32.26,10.7,18,68,31881.75,14450.18,15000,75614,2.17,1.68,48.7
